book_author,book_link,book_title,file_type_size,language,rate_interest,rate_quality,year
Francois Chollet,https://tr.eg1lib.org/book/17992678/2f389d,"Deep Learning with Python, 2nd Edition (Final Release)","PDF, 14.43 MB",english,5.0,5.0,2021
Felipe Cruz,https://tr.eg1lib.org/book/2726638/e92d4a,Python: Escreva seus primeiros programas,"PDF, 954 KB",portuguese,3.0,5.0,2015
Jason Brownlee,https://tr.eg1lib.org/book/5806919/5ea3e1,Machine Learning Algorithms From Scratch: With Python,"PDF, 1.10 MB",english,0,0,2018
Peter Bruce,https://tr.eg1lib.org/book/5464970/e6c47c,Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"EPUB, 8.91 MB",english,0,3.5,2020
Yuxi (Hayden) Liu,https://tr.eg1lib.org/book/3685501/4a6eaf,Python Machine Learning By Example: The Easiest Way to Get into Machine Learning,"PDF, 4.88 MB",english,0,0,2017
北京大学地空学院数据结构与算法课程 2015年及2016年上课同学,https://tr.eg1lib.org/book/5640286/9a2621,问题求解：算法与数据结构（Python 版）,"PDF, 10.87 MB",chinese,3.0,0,2015
Mark Lutz,https://tr.eg1lib.org/book/2078991/80591e,Programming Python,"PDF, 11.29 MB",english,5.0,5.0,2011
Mark Lutz,https://tr.eg1lib.org/book/2272701/59531b,"Learning Python, 5th Edition","PDF, 14.46 MB",english,5.0,0,2013
Daniel Rubio (auth.),https://tr.eg1lib.org/book/3394017/df601d,Beginning Django: Web Application Development and Deployment with Python,"PDF, 10.57 MB",english,0,5.0,2017
Hu,https://tr.eg1lib.org/book/4976734/04bb61,Introduction to GIS programming and fundamentals with Python and ArcGIS®,"PDF, 21.29 MB",english,0,0,2017
Kamon Ayeva,https://tr.eg1lib.org/book/3649064/8d7557,"Mastering Python Design Patterns: A guide to creating smart, efficient, and reusable software","PDF, 1.52 MB",english,0,0,2018
Jason Brownlee,https://tr.eg1lib.org/book/5787592/b036cd,Deep Learning for Natural Language Processing: Develop Deep Learning Models for Natural Language in Python,"PDF, 7.21 MB",english,0,5.0,2017
John Paul Mueller,https://tr.eg1lib.org/book/3705316/5dfa26,"Python for Data Science, 2nd Edition","EPUB, 8.73 MB",english,5.0,5.0,2019
Sloan Kelly,https://tr.eg1lib.org/book/5002889/62c3cd,"Python, Pygame, and Raspberry Pi Game Development","PDF, 5.85 MB",english,0,0,2019
Mark Lutz,https://tr.eg1lib.org/book/2736332/9fa3fc,"Python Pocket Reference, 5th Edition: Python in Your Pocket","PDF, 5.07 MB",english,5.0,4.0,2014
Mark Myers,https://tr.eg1lib.org/book/3571225/20fdc4,A Smarter Way to Learn Python: Learn it faster. Remember it longer.,"PDF, 1.87 MB",english,5.0,3.0,2017
Andrea Giussani,https://tr.eg1lib.org/book/5443735/d9b052,Applied Machine Learning with Python,"PDF, 6.53 MB",english,0,0,2020
Bryson Payne,https://tr.eg1lib.org/book/2578699/a661e2,Teach Your Kids to Code: A Parent-Friendly Guide to Python Programming,"PDF, 14.66 MB",english,0,0,2015
Suresh Kumar Mukhiya,https://tr.eg1lib.org/book/5531836/f7537e,"Hands-On Exploratory Data Analysis with Python: Perform EDA techniques to understand, summarize, and investigate your data","PDF, 18.75 MB",english,0,0,2020
Wes McKinney,https://tr.eg1lib.org/book/3366867/90bceb,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython","EPUB, 2.08 MB",english,0,2.0,2017
Doug Hellmann,https://tr.eg1lib.org/book/3510108/07fb43,The Python 3 Standard Library by Example,"PDF, 14.14 MB",english,4.0,5.0,2017
Shalabh Aggarwal,https://tr.eg1lib.org/book/5240653/340053,Flask Framework Cookbook: Over 80 proven recipes and techniques for Python web development with Flask,"EPUB, 4.88 MB",english,0,0,2019
Michal Jaworski,https://tr.eg1lib.org/book/2734565/43c7e8,"Expert Python Programming, 2nd Edition: Become an ace Python programmer by learning best coding practices and advance-level concepts with Python 3.5","PDF, 41.45 MB",english,0,0,2016
James Cooper,https://tr.eg1lib.org/book/18764515/e6a552,Python Programming with Design Patterns,"EPUB, 45.00 MB",english,5.0,4.0,2022
Alexander Lancaster,https://tr.eg1lib.org/book/5256462/56ee20,Python for the Life Sciences: A Gentle Introduction to Python for Life Scientists,"PDF, 12.44 MB",english,0,0,2019
Dr. Basant Agarwal,https://tr.eg1lib.org/book/5342106/c89946,"Hands-On Data Structures and Algorithms with Python: Write complex and powerful code using the latest features of Python 3.7, 2nd Edition","PDF, 12.86 MB",english,0,5.0,2018
Serg Masís,https://tr.eg1lib.org/book/16843837/bb7be8,Interpretable Machine Learning with Python: Learn to build interpretable high-performance models with hands-on real-world examples,"PDF, 15.39 MB",english,0,5.0,2021
Claus Fuhrer,https://tr.eg1lib.org/book/16894525/8dde34,"Scientific Computing with Python: High-performance scientific computing with NumPy, SciPy, and pandas","PDF, 27.65 MB",english,0,5.0,2021
Sayan Mukhopadhyay,https://tr.eg1lib.org/book/3703208/9ccaa8,"Advanced Data Analytics Using Python: With Machine Learning, Deep Learning and NLP Examples","PDF, 2.18 MB",english,0,0,2018
Jason Brownlee,https://tr.eg1lib.org/book/16857790/c2ba9f,"Deep Learning for Computer Vision - Image Classification, Object Detection and Face Recognition in Python","PDF, 10.28 MB",english,5.0,5.0,2019
Denis Rothman,https://tr.eg1lib.org/book/3668588/7ccdcf,Python Beginners Guide to Artificial Intelligence,"PDF, 44.19 MB",english,5.0,5.0,2018
Jacob Beningo,https://tr.eg1lib.org/book/5456016/41531f,MicroPython Projects: A do-it-yourself guide to building embedded applications in various domains using Python,"PDF, 18.59 MB",english,0,0,2020
Caleb Hattingh,https://tr.eg1lib.org/book/5349489/4a525d,Using Asyncio in Python: Understanding Python's Asynchronous Programming Features,"EPUB, 2.87 MB",english,0,0,2020
[挪] Magnus Lie Hetland 著 袁国忠 译,https://tr.eg1lib.org/book/10980712/57a783,python基础教程（第三版）,"PDF, 10.15 MB",chinese,5.0,5.0,2018
阿布,https://tr.eg1lib.org/book/11325425/e05156,量化交易之路 用Python做股票量化分析,"PDF, 104.55 MB",,4.0,0,2018
Jason Brownlee,https://tr.eg1lib.org/book/8707462/e72ce2,"Imbalanced Classification with Python: Choose Better Metrics, Balance Skewed Classes, and Apply Cost-Sensitive Learning","PDF, 5.06 MB",english,0,0,2020
Matthew Scarpino,https://tr.eg1lib.org/book/5329070/6dbbce,Algorithmic Trading with Interactive Brokers (Python and C++),"EPUB, 11.04 MB",english,0,0,2019
Yves Hilpisch,https://tr.eg1lib.org/book/11316199/20eefd,Python for Algorithmic Trading: From Idea to Cloud Deployment,"EPUB, 19.59 MB",english,5.0,5.0,2021
Chou,https://tr.eg1lib.org/book/3602576/e04eec,"Mastering Python networking : your one-stop solution to using Python for network automation, DevOps, and test-driven development","EPUB, 12.48 MB",english,0,0,2018
Paul Orland,https://tr.eg1lib.org/book/9735044/6fa09d,"Math for Programmers: 3D Graphics, Machine Learning and Simulations with Python","PDF, 26.38 MB",english,5.0,5.0,2020
Gaston C. Hillar,https://tr.eg1lib.org/book/2735807/1cea06,Internet of Things with Python: Interact with the world and rapidly prototype IoT applications using Python,"PDF, 27.98 MB",english,0,0,2016
Eric Biernat,https://tr.eg1lib.org/book/2611210/8160bc,Data science : fondamentaux et études de cas : Machine learning avec Python et R,"PDF, 9.60 MB",french,3.0,0,2015
Christian Mayer,https://tr.eg1lib.org/book/5475058/723632,Python One-Liners,"PDF, 6.70 MB",english,5.0,4.0,2020
Anthony Scopatz,https://tr.eg1lib.org/book/2734587/71811c,Effective Computation in Physics: Field Guide to Research with Python,"PDF, 10.46 MB",english,5.0,3.0,2015
关东升,https://tr.eg1lib.org/book/17750899/89cf83,看漫画学Python：有趣、有料、好玩、好用：全彩版,"EPUB, 53.45 MB",chinese,4.0,0,2020
Dmitry Zinoviev,https://tr.eg1lib.org/book/3519515/6f07af,Complex Network Analysis in Python: Recognize - Construct - Visualize - Analyze - Interpret,"PDF, 16.73 MB",english,0,0,2018
Martin Fitzpatrick,https://tr.eg1lib.org/book/5534827/76814c,"Create Simple GUI Applications, with Python & Qt5 The hands-on guide to building desktop apps with Python.","PDF, 7.38 MB",english,0,0,2019
Lanaro,https://tr.eg1lib.org/book/11022893/894196,"Advanced Python Programming: Build high performance, concurrent, and multi-threaded apps with Python using proven design patterns","PDF, 12.89 MB",english,5.0,0,2019
Eric Matthes,https://tr.eg1lib.org/book/5527105/e03597,"Python Flash Cards - Syntax, Concepts, and Examples","PDF, 1.03 MB",english,4.0,5.0,2019
Dipanjan Sarkar,https://tr.eg1lib.org/book/3608321/f88298,Hands-On Transfer Learning with Python Implement Advanced Deep Learning and Neural Network Models Using TensorFlow and Keras,"EPUB, 46.15 MB",english,0,0,2018
Ganesh Sanjiv Naik,https://tr.eg1lib.org/book/3715980/697fe8,Mastering Python Scripting for System Administrators,"EPUB, 3.90 MB",english,4.0,0,2019
Patrick Viafore,https://tr.eg1lib.org/book/17121378/65a696,Robust Python: Write Clean and Maintainable Code,"PDF, 7.21 MB",english,5.0,5.0,2021
Christian Mayer,https://tr.eg1lib.org/book/5450845/b19a58,Python One-Liners,"EPUB, 3.36 MB",english,5.0,0,2020
Abhishek Ratan,https://tr.eg1lib.org/book/3640160/814532,Practical Network Automation: Leverage the power of Python and Ansible to optimize your network,"PDF, 12.44 MB",english,0,0,2017
Jamie Chan,https://tr.eg1lib.org/book/5266367/170b3d,Learn Python in One Day and Learn It Well,"MOBI , 1.15 MB",english,0,0,2017
Joel Grus,https://tr.eg1lib.org/book/2563848/fbbf4b,Data Science from Scratch: First Principles with Python,"PDF, 5.02 MB",english,0,0,2015
Dusty Phillips,https://tr.eg1lib.org/book/5393645/400183,Python 3 Object-Oriented Programming: Build robust and maintainable software with object-oriented design patterns in Python 3.8,"ZIP, 12.68 MB",english,4.0,5.0,2018
Andrew Park,https://tr.eg1lib.org/book/5690391/cb12b9,"Data Science for Beginners: 4 Books in 1: Python Programming, Data Analysis, Machine Learning. A Complete Overview to Master The Art of Data Science From Scratch Using Python for Business","EPUB, 916 KB",english,0,0,2020
N D Lewis,https://tr.eg1lib.org/book/3384619/151acf,Deep Time Series Forecasting with Python: An Intuitive Introduction to Deep Learning for Applied Time Series Modeling,"PDF, 1.58 MB",english,5.0,0,2016
Allen B. Downey,https://tr.eg1lib.org/book/2737587/ab97d5,Think Bayes: Bayesian Statistics in Python,"PDF, 11.78 MB",english,5.0,5.0,2013
Sufyan bin Uzayr,https://tr.eg1lib.org/book/18733814/726c18,Mastering Python for Web: A Beginner's Guide (Mastering Computer Science),"PDF, 5.44 MB",english,2.5,3.0,2022
Naomi Ceder,https://tr.eg1lib.org/book/3590111/62c447,The Quick Python Book,"PDF, 13.75 MB",english,0,1.0,2018
Antonio Gulli,https://tr.eg1lib.org/book/3680014/10dd8f,Deep Learning with Keras: Implementing Deep Learning Models and Neural Networks with the power of Python,"PDF, 17.62 MB",english,0,0,2017
Jaan Kiusalaas,https://tr.eg1lib.org/book/2373245/0ef144,Numerical Methods in Engineering with Python 3,"PDF, 2.29 MB",english,5.0,5.0,2013
Test,https://tr.eg1lib.org/book/5682795/ea7b00,"Python Programming: 3 BOOKS IN 1 Learn machine learning, data science and analysis with a crash course for beginners. Included coding exercises for artificial intelligence, Numpy, Pandas and Ipython.","EPUB, 9.13 MB",english,0,0,2020
Grid,https://tr.eg1lib.org/book/11368196/ec39fb,"Computer Programming for Beginners and Cybersecurity: The Ultimate Manual to Learn step by step how to Professionally Code and Protect Your Data. This Book includes: Python, Java, C++ & Cybersecurity","PDF, 2.40 MB",english,5.0,0,2021
Black Dog Media,https://tr.eg1lib.org/book/5808656/3309d3,"The Complete Python Manual, 5th Edition","PDF, 136.77 MB",english,0,0,2020
Steven F. Lott,https://tr.eg1lib.org/book/3675360/3bca17,"Functional Python Programming: Discover the power of functional programming, generator functions, lazy evaluation, the built-in itertools library, and monads","PDF, 2.52 MB",english,0,0,2018
Adel,https://tr.eg1lib.org/book/11172306/d249e6,"Learn and Practice Python in 7 Days From Zero To Hero: Learn Python Step by Step,Learn Python in 7 days","EPUB, 7.30 MB",english,0,0,2021
Rubin H. Landau,https://tr.eg1lib.org/book/3580383/291a37,Computational Problems for Physics: With Guided Solutions Using Python,"PDF, 46.21 MB",english,0,0,2018
Michael Heydt,https://tr.eg1lib.org/book/3600723/deac39,Python Web Scraping Cookbook,"EPUB, 9.87 MB",english,0,0,2018
Paul Deitel,https://tr.eg1lib.org/book/17537272/ff7235,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud, Global Edition","PDF, 49.28 MB",english,5.0,5.0,2021
Unknown,https://tr.eg1lib.org/book/2740800/2afbbd,"Natural Language Processing in Python: Master Data Science and Machine Learning for spam detection, sentiment analysis, latent semantic analysis, and article spinning (Machine Learning in Python)","EPUB, 1.17 MB",english,0,0,2016
Caleb Hattingh,https://tr.eg1lib.org/book/5405065/567ad8,Using Asyncio in Python: Understanding Python's Asynchronous Programming Features,"PDF, 5.81 MB",english,0,5.0,2020
Josh Hugh Learning,https://tr.eg1lib.org/book/5679969/cbb8d3,"Python Machine Learning. A Crash Course for Beginners to Understand Machine learning, Artificial Intelligence, Neural Networks, and Deep Learning with Scikit-Learn, TensorFlow, and Keras.","PDF, 1.30 MB",english,0,0,2019
Acodemy,https://tr.eg1lib.org/book/3312588/3f57a9,Python: Learn Web Scraping with Python In A DAY! : The Ultimate Crash Course to Learning the Basics of Web Scraping with Python In No Time,"EPUB, 199 KB",english,0,0,2015
Learning,https://tr.eg1lib.org/book/18777655/27d407,52 Amazing Python Projects For Developers,"PDF, 710 KB",english,0,0,2022
Joel Grus,https://tr.eg1lib.org/book/4991753/a55037,Data Science do zero: Primeiras regras com o Python,"PDF, 5.26 MB",portuguese,4.0,4.5,2016
Clinton Sheppard,https://tr.eg1lib.org/book/2838917/6b5d40,Genetic Algorithms with Python,"PDF, 9.34 MB",english,0,0,2016
Kenneth Reitz,https://tr.eg1lib.org/book/2764498/8bd61a,The Hitchhiker’s Guide to Python: Best Practices for Development,"PDF, 5.24 MB",english,0,0,2016
Ivan Idris,https://tr.eg1lib.org/book/2736185/1acb70,"NumPy Cookbook, 2nd Edition: Over 90 fascinating recipes to learn and perform mathematical, scientific, and engineering Python computations with NumPy","PDF, 15.11 MB",english,5.0,5.0,2015
Alex Gezerlis,https://tr.eg1lib.org/book/5706506/2ff1e8,Numerical Methods in Physics with Python,"PDF, 6.51 MB",english,5.0,5.0,2020
作者[加] 约瑟夫·豪斯（Joseph Howse）[爱尔兰] 乔·米尼奇诺（Joe Minichino）  译者刘冰高博,https://tr.eg1lib.org/book/18076844/e03322,OpenCV 4计算机视觉 Python语言实现(原书第3版),"PDF, 16.38 MB",chinese,5.0,5.0,2021
Zadka,https://tr.eg1lib.org/book/5211088/5469f0,DevOps in Python : Infrastructure as Python,"PDF, 1.84 MB",english,5.0,0,2019
Vo. T. H,https://tr.eg1lib.org/book/3430476/3cb0fd,"Python : end-to-end data analysis : leverage the power of Python to clean, scrape, analyze, and visualize your data : a course in three modules.","PDF, 22.09 MB",english,0,0,2017
Allen B. Downey,https://tr.eg1lib.org/book/16986783/6e708d,Think Bayes: Bayesian Statistics in Python,"PDF, 18.47 MB",english,4.0,5.0,2021
Danny Staple,https://tr.eg1lib.org/book/3698165/045ef6,Learn Robotics Programming: Build and control autonomous robots using Raspberry Pi 3 and Python,"PDF, 105.77 MB",english,0,0,2018
Michael Beyeler,https://tr.eg1lib.org/book/3647504/4d09d5,Machine Learning for OpenCV: Intelligent image processing with Python,"PDF, 27.77 MB",english,0,0,2017
David Mertz,https://tr.eg1lib.org/book/11924947/cb65f8,"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools","PDF, 6.62 MB",english,4.0,5.0,2021
Joel Lawhead,https://tr.eg1lib.org/book/5277461/5502ff,Learning Geospatial Analysis with Python: Understand GIS fundamentals and perform remote sensing data analysis using Python 3.7,"PDF, 57.18 MB",english,0,5.0,2019
Chou,https://tr.eg1lib.org/book/4994709/c69ce9,Python network programming : conquer all your networking challenges with the powerful Python language,"EPUB, 17.80 MB",english,0,4.0,2019
Bill Lubanovic,https://tr.eg1lib.org/book/5286480/48b235,Introducing Python: Modern Computing in Simple Packages,"EPUB, 10.85 MB",english,5.0,0,2019
Ben Shaw,https://tr.eg1lib.org/book/11950058/926fc7,Web Development with Django: Learn to build modern web applications with a Python-based framework,"PDF, 25.98 MB",english,4.0,5.0,2021
John Thomas,https://tr.eg1lib.org/book/18784462/e4ff95,Data Structure and Algorithms With Python: The Ultimate Guide Towards Coding,"PDF, 1.27 MB",english,0,0,2022
Clinton W. Brownley,https://tr.eg1lib.org/book/5404429/7d95d1,Working with Excel files in Python,"EPUB, 3.03 MB",english,4.0,0,2018
埃里克·马瑟斯 [埃里克·马瑟斯],https://tr.eg1lib.org/book/16660470/cd018e,Python编程：从入门到实践（第2版）（新版上线！！！！沿袭第1版讲解清晰透彻、循序渐进的特点，并全面升级！源代码文件+视频讲解+配套编程环境，零基础自学Python一本就够！）（图灵图书）,"EPUB, 5.13 MB",chinese,5.0,4.0,2020
Alan D. Moore,https://tr.eg1lib.org/book/3560811/f525ae,Python GUI programming with Tkinter,"PDF, 3.43 MB",english,0,0,2018
Bill Lubanovic,https://tr.eg1lib.org/book/5706549/67d448,Introducing Python: Modern Computing in Simple Packages,"PDF, 19.72 MB",english,5.0,3.0,2019
Alphy Books,https://tr.eg1lib.org/book/5477222/48b6e0,Hacking: Hacking With Python - The Complete Beginner's Course to Learn Ethical Hacking With Python in 7 Clear-Cut Lessons - Including Dozens of Practical Examples & Exercises (Hacking Series Book 1),"EPUB, 197 KB",english,3.0,0,2016
Alan D. Moore,https://tr.eg1lib.org/book/5642771/ed9926,Python GUI Programming - A Complete Reference Guide: Develop responsive and powerful GUI applications with PyQt and Tkinter,"EPUB, 4.15 MB",english,5.0,0,2019
(美)Mahesh Venkitachalam,https://tr.eg1lib.org/book/5746773/5f7341,Python极客项目编程,"PDF, 5.97 MB",chinese,4.0,5.0,
John Hunt,https://tr.eg1lib.org/book/5226734/9e82bb,A Beginners Guide To Python 3 Programming,"PDF, 29.07 MB",english,0,0,2019
[美]大卫·比斯利（David Beazley），布莱恩·K. 琼斯（Brian K.Jones）,https://tr.eg1lib.org/book/12790487/e7701d,Python Cookbook（第3版）中文版,"PDF, 7.25 MB",chinese,5.0,5.0,2020
Katharine Jarmu,https://tr.eg1lib.org/book/5413135/8d0b6f,用 Python 写网络爬虫,"PDF, 11.95 MB",chinese,3.0,0,2018
Tarek Amr,https://tr.eg1lib.org/book/5678835/228061,Hands-On Machine Learning with scikit-learn and Scientific Python Toolkits: A practical guide to implementing supervised and unsupervised machine learning algorithms in Python,"PDF, 12.37 MB",english,0,0,2020
Dr. Brian Tuomanen,https://tr.eg1lib.org/book/5002329/09ed36,Hands-On GPU Programming with Python and CUDA: Explore high-performance parallel computing with CUDA,"EPUB, 10.01 MB",english,0,0,2018
Jake VanderPlas,https://tr.eg1lib.org/book/13195603/f0e890,Python数据科学手册,"PDF, 15.21 MB",chinese,5.0,5.0,2018
Mike McGrath,https://tr.eg1lib.org/book/3561309/a83453,Python in easy steps,"PDF, 8.14 MB",english,5.0,0,2018
Nicholas H. Tollervey,https://tr.eg1lib.org/book/3366886/09d3c6,Programming with MicroPython: Embedded Programming with Microcontrollers and Python,"PDF, 17.14 MB",english,0,0,2017
Ashwin Pajankar (auth.),https://tr.eg1lib.org/book/3307996/e0b246,"Raspberry Pi Image Processing Programming: Develop Real-Life Examples with Python, Pillow, and SciPy","PDF, 3.78 MB",english,5.0,5.0,2017
Zed A. Shaw,https://tr.eg1lib.org/book/3361760/8a4667,Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code,"EPUB, 12.38 MB",english,5.0,5.0,2017
Mark Roseman,https://tr.eg1lib.org/book/2694069/c1b69c,"Modern Tkinter for Busy Python Developers: Quickly learn to create great looking user interfaces for Windows, Mac and Linux using Python's standard GUI toolkit","PDF, 2.07 MB",english,0,0,2012
Thomas Haslwanter,https://tr.eg1lib.org/book/2802520/5a5177,An Introduction to Statistics with Python: With Applications in the Life Sciences,"PDF, 4.58 MB",english,0,0,2016
Publishing,https://tr.eg1lib.org/book/6099576/3bf189,"Python Machine Learning for Beginners: Learning from Scratch Numpy, Pandas, Matplotlib, Seaborn, SKlearn and TensorFlow 2.0 for Machine Learning & Deep Learning- With Exercises and Hands-on Projects","EPUB, 10.05 MB",english,0,5.0,2020
Shruti Jadon,https://tr.eg1lib.org/book/5558587/02e355,Hands-On One-shot Learning with Python: Learn to implement fast and accurate deep learning models with fewer training samples using PyTorch,"PDF, 13.51 MB",english,0,0,2020
Bonny P. McClain,https://tr.eg1lib.org/book/17128890/2ee870,Python for Geospatial Data Analysis (First Early Release),"PDF, 9.19 MB",english,0,4.0,2022
Al Sweigart,https://tr.eg1lib.org/book/5413173/d0b195,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,"EPUB, 4.77 MB",english,1.0,0,2020
Aman Kedia,https://tr.eg1lib.org/book/5598995/a0e5af,Hands-On Python Natural Language Processing: Explore tools and techniques to analyze and process text with a view to building real-world NLP applications,"PDF, 8.58 MB",english,4.5,5.0,2020
Jiri Pik,https://tr.eg1lib.org/book/17038050/175ff4,Hands-On Financial Trading with Python,"PDF, 13.78 MB",english,4.0,0,2021
Paul Crickard,https://tr.eg1lib.org/book/12883329/5f869c,Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,"PDF, 10.51 MB",english,5.0,0,2020
Max Humber,https://tr.eg1lib.org/book/3601890/9334b8,"Personal Finance with Python: Using pandas, Requests, and Recurrent","PDF, 3.84 MB",english,5.0,0,2018
Allen B. Downey,https://tr.eg1lib.org/book/3618512/00d524,Pense em Python,"PDF, 1.61 MB",portuguese,0,0,2002
David Beazley,https://tr.eg1lib.org/book/16474087/1dc762,Python Distilled (Developer's Library) (1st Edition),"EPUB, 6.16 MB",english,2.0,1.0,2021
Mark Summerfield,https://tr.eg1lib.org/book/681708/9f1eb6,Programming in Python 3: A Complete Introduction to the Python Language,"PDF, 2.54 MB",english,0,0,2008
M. MOka (FAKE),https://tr.eg1lib.org/book/2699024/fa903e,Use MySQL with Python (FAKE),"PDF, 17.68 MB",english,0,0,2016
Hadelin de Ponteves,https://tr.eg1lib.org/book/5452538/834d6c,"AI Crash Course: A Fun and Hands-On Introduction to Reinforcement Learning, Deep Learning, and Artificial Intelligence with Python","PDF, 9.44 MB",english,0,0,2019
Stefanie Molin,https://tr.eg1lib.org/book/5693858/1f9813,"Hands-On Data Analysis with Pandas: Efficiently perform data collection, wrangling, analysis, and visualization using Python","PDF, 16.72 MB",english,0,0,2019
Real Python,https://tr.eg1lib.org/book/17507364/3bb1dc,Python Basics: A Practical Introduction to Python 3,"PDF, 5.81 MB",english,0,0,2020
Elias Dabbas,https://tr.eg1lib.org/book/14621462/c87729,Interactive Dashboards and Data Apps with Plotly and Dash: Harness the power of a fully fledged frontend web framework in Python – no JavaScript required,"PDF, 20.19 MB",english,0,0,2021
Sebastian Bassi,https://tr.eg1lib.org/book/3335141/4d806b,Python for Bioinformatics,"PDF, 4.97 MB",english,0,0,2017
Samuel Dauzon,https://tr.eg1lib.org/book/2879063/944ee6,Django : web development with Python,"PDF, 8.08 MB",english,4.0,5.0,2016
Pradeeban Kathiravelu,https://tr.eg1lib.org/book/3640161/a4942a,Python Network Programming Cookbook: Practical solutions to overcome real-world networking challenges,"PDF, 15.41 MB",english,3.0,5.0,2017
Ankur Ankan,https://tr.eg1lib.org/book/3608882/2c4149,Hands-On Markov Models with Python,"EPUB, 24.39 MB",english,0,0,2018
Puri G.M.,https://tr.eg1lib.org/book/3058363/ceb28f,Python Scripts for ABAQUS: Learn by Example,"PDF, 182.31 MB",english,5.0,0,
Alessandro Molina,https://tr.eg1lib.org/book/11646337/169eb3,"Crafting Test-Driven Software with Python: Write test suites that scale with your applications needs and complexity, using Python and PyTest","PDF, 4.12 MB",english,0,5.0,2021
Dimitrios Kouzis-Loukas,https://tr.eg1lib.org/book/2968602/2a6a7d,Learning Scrapy: Learn the art of efficient web scraping and crawling with Python,"PDF, 18.13 MB",english,0,0,2016
Soledad Galli,https://tr.eg1lib.org/book/6099460/82e7a4,"Python Feature Engineering Cookbook: Over 70 Recipes for Creating, Engineering, and Transforming Features to Build Machine Learning Models","PDF, 8.32 MB",english,0,0,2020
崔庆才,https://tr.eg1lib.org/book/5640390/04c677,Python 3网络爬虫开发实战,"PDF, 376.51 MB",chinese,4.0,0,2018
Al Sweigart,https://tr.eg1lib.org/book/5205910/9fab22,Automatize Tarefas Maçantes com Python,"PDF, 6.37 MB",portuguese,5.0,5.0,2017
J. Burton Browning,https://tr.eg1lib.org/book/3712833/c8b7bd,Pro Python 3: Features and Tools for Professional Development,"PDF, 5.94 MB",english,0,0,2019
[德] Andreas C. Müller [美] Sarah Guido,https://tr.eg1lib.org/book/12216510/cef690,Python机器学习基础教程,"EPUB, 6.12 MB",chinese,5.0,5.0,2018
Andrea Lonza,https://tr.eg1lib.org/book/5280504/d4212d,"Reinforcement Learning Algorithms with Python: Learn, understand, and develop smart algorithms for addressing AI challenges","PDF, 21.98 MB",english,0,0,2019
Paul Barry,https://tr.eg1lib.org/book/5406989/33f565,"Head First Python, 2nd Edition","EPUB, 47.74 MB",english,4.0,5.0,2018
Gaston C. Hillar,https://tr.eg1lib.org/book/5282338/3d3e97,"Hands-On RESTful Python Web Services: Develop RESTful web services or APIs with modern Python 3.7, 2nd Edition","PDF, 11.80 MB",english,0,0,2018
Michael Walker,https://tr.eg1lib.org/book/11149574/a5a823,Python Data Cleaning Cookbook: Modern techniques and Python tools to detect and remove dirty data and extract key insights,"PDF, 3.25 MB",english,4.0,0,2020
MARK LUTZ,https://tr.eg1lib.org/book/1216722/53742d,APRENDENDO PYTHON,"PDF, 20.38 MB",portuguese,0,0,2007
Frank Kane,https://tr.eg1lib.org/book/3419019/943ffb,Hands-on data science and Python machine learning : perform data mining and machine learning efficiently using Python and Spark,"PDF, 15.28 MB",english,0,0,2017
Hemant Jain,https://tr.eg1lib.org/book/3706455/5f9309,Problem Solving in Data Structures & Algorithms Using Python: Programming Interview Guide,"EPUB, 3.10 MB",english,0,0,2016
Burkhard A. Meier,https://tr.eg1lib.org/book/2736306/1047e2,Python GUI Programming Cookbook: Over 80 object-oriented recipes to help you create mind-blowing GUIs in Python,"PDF, 9.15 MB",english,0,0,2015
罗攀 蒋仟,https://tr.eg1lib.org/book/17401648/d61ba7,从零开始学Python网络爬虫,"PDF, 143.87 MB",chinese,0,0,2021
Javier Riverola Gurruchaga,https://tr.eg1lib.org/book/3653522/c12de9,"Python Recipes for Engineers and Scientists: Scripts that devour your integrals, equations, differential equations, and interpolations!","PDF, 3.16 MB",english,0,0,2018
David Kopec [Kopec,https://tr.eg1lib.org/book/16307516/61b62b,算法精粹：经典计算机科学问题的 Python 实现,"EPUB, 2.22 MB",chinese,4.0,5.0,2020
Brett Slatkin,https://tr.eg1lib.org/book/5410092/89c7d4,Effective Python : 90 specific ways to write better Python,"EPUB, 54.06 MB",english,5.0,0,2020
Eric Matthes,https://tr.eg1lib.org/book/5416472/00bb74,"Python Crash Course: A Hands-On, Project-Based Introduction to Programming, 2nd Edition","EPUB, 20.47 MB",english,5.0,0,2019
Orhan Gazi Yalçın,https://tr.eg1lib.org/book/11208821/16c243,Applied Neural Networks with TensorFlow 2: API Oriented Deep Learning with Python,"PDF, 6.19 MB",english,0,0,2021
Charles Bell,https://tr.eg1lib.org/book/5588249/9eb3eb,"Beginning Sensor Networks with XBee, Raspberry Pi, and Arduino: Sensing the World with Python and MicroPython","PDF, 13.89 MB",english,0,0,2020
