book_author,book_link,book_title,file_type_size,language,rate_interest,rate_quality,year
Jason Brownlee,https://tr.eg1lib.org/book/5220424/662bb3,Statistical Methods for Machine Learning: Discover How to Transform Data into Knowledge with Python,"PDF, 2.63 MB",english,0,5.0,2019
Christoph Dürr,https://tr.eg1lib.org/book/11000183/f5454f,Competitive Programming in Python: 128 Algorithms to Develop your Coding Skills,"PDF, 3.30 MB",english,5.0,5.0,2021
Jojo John Moolayil,https://tr.eg1lib.org/book/3640070/5f03d8,Learn Keras for Deep Neural Networks: A Fast-Track Approach to Modern Deep Learning with Python,"PDF, 2.74 MB",english,0,0,2019
[美]埃里克·马瑟斯（Eric Matthes）,https://tr.eg1lib.org/book/17047313/70f35f,Python编程：从入门到实践（第2版）,"PDF, 9.26 MB",chinese,5.0,4.0,2021
Hobson Lane,https://tr.eg1lib.org/book/4984922/b162b3,"Natural Language Processing in Action: Understanding, analyzing, and generating text with Python","PDF, 9.70 MB",english,4.5,5.0,2019
Sumit Raj,https://tr.eg1lib.org/book/3642068/da7d8c,Building Chatbots with Python: Using Natural Language Processing and Machine Learning,"PDF, 5.18 MB",english,5.0,0,2019
Miguel Grinberg,https://tr.eg1lib.org/book/3658054/eb3c50,Flask Web Development: Developing Web Applications With Python,"PDF, 5.36 MB",english,4.5,5.0,2018
Steven F. Lott,https://tr.eg1lib.org/book/5234631/ead855,"Mastering Object-Oriented Python, 2nd Edition","PDF, 6.38 MB",english,4.0,0,2019
Allen B. Downey,https://tr.eg1lib.org/book/2647634/4e1291,Think Python: How to Think Like a Computer Scientist,"PDF, 4.21 MB",english,5.0,5.0,2015
Jason Brownlee,https://tr.eg1lib.org/book/5445228/f90f68,Introduction to Time Series Forecasting with Python: How to Prepare Data and Develop Models to Predict the Future,"PDF, 6.37 MB",english,5.0,4.5,2020
Ahmed Fawzy Gad,https://tr.eg1lib.org/book/3640071/00dfb7,Practical Computer Vision Applications Using Deep Learning with CNNs: With Detailed Examples in Python Using TensorFlow and Kivy,"PDF, 9.55 MB",english,5.0,5.0,2019
Sebastien Donadio,https://tr.eg1lib.org/book/5287381/35e76f,Learn Algorithmic Trading: Build and deploy algorithmic trading systems and strategies using Python and advanced data analysis,"PDF, 15.93 MB",english,0,0,2019
Steve Blair,https://tr.eg1lib.org/book/5325854/b193bd,"Python Data Science: The Ultimate Handbook for Beginners on How to Explore NumPy for Numerical Data, Pandas for Data Analysis, IPython, Scikit-Learn and Tensorflow for Machine Learning and Business","EPUB, 1.90 MB",english,5.0,5.0,2019
Jeff Cicolani,https://tr.eg1lib.org/book/3504100/1778c0,Beginning Robotics with Raspberry Pi and Arduino: Using Python and OpenCV,"PDF, 7.93 MB",english,5.0,5.0,2018
Yves Hilpisch,https://tr.eg1lib.org/book/3672683/847426,Python for Finance: Mastering Data-Driven Finance,"EPUB, 10.91 MB",english,5.0,5.0,2019
Magnus Lie Hetland,https://tr.eg1lib.org/book/916691/af385f,Python Algorithms: Mastering Basic Algorithms in the Python Language,"PDF, 3.21 MB",english,0,5.0,2010
Steven I. Gordon,https://tr.eg1lib.org/book/3319033/f8ddad,Introduction to Modeling and Simulation with MATLAB® and Python,"PDF, 7.36 MB",english,5.0,0,2017
Ryan Mitchell,https://tr.eg1lib.org/book/3510020/a857f9,Python网络数据采集,"PDF, 16.70 MB",chinese,4.0,5.0,2016
José Unpingco,https://tr.eg1lib.org/book/5210867/a76a1d,"Python for Probability, Statistics, and Machine Learning","PDF, 11.11 MB",english,4.0,5.0,2019
Narasimha Karumanchi,https://tr.eg1lib.org/book/2843422/bc08e9,Data Structure and Algorithmic Thinking with Python  Data Structure and Algorithmic Puzzles,"PDF, 69.96 MB",english,0,0,2016
Lee Vaughan,https://tr.eg1lib.org/book/3653550/a0ecde,Impractical Python Projects: Playful Programming Activities to Make You Smarter,"PDF, 24.87 MB",english,4.0,2.0,2018
Adrian Rosebrock,https://tr.eg1lib.org/book/3559375/00e406,"Deep Learning for Computer Vision with Python, Volume 1","PDF, 26.44 MB",english,5.0,5.0,2017
Al Sweigart,https://tr.eg1lib.org/book/3362147/498f19,Invent Your Own Computer Games with Python,"PDF, 8.42 MB",english,4.5,5.0,2016
王秀文 & 郭明鑫 & 王宇韬,https://tr.eg1lib.org/book/16885684/a5ff80,超简单：用Python让Excel飞起来（零基础学python，用python实现办公自动化，让excel化繁为简，减少重复工作）,"EPUB, 12.16 MB",chinese,4.0,0,2020
Rod Stephens,https://tr.eg1lib.org/book/4999553/6d187a,Essential Algorithms: A Practical Approach to Computer Algorithms Using Python and C#,"PDF, 11.04 MB",english,5.0,5.0,2019
Benjamin Bengfort,https://tr.eg1lib.org/book/3606239/b8af58,Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,"PDF, 13.97 MB",english,3.0,5.0,2018
Galit Shmueli,https://tr.eg1lib.org/book/5288620/4328b7,"Data Mining for Business Analytics: Concepts, Techniques and Applications in Python","EPUB, 7.20 MB",english,0,0,2020
